IFOH	IFOL	IFOV	Noise	SNR	i	m	q	s	binary
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	30	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	30	2	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	30	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	35	2	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	35	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	40	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	40	2	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	40	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	40	6	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	40	8	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	60	2	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	60	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	70	20	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	80	2	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	80	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	100	2	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	100	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	70	40	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	70	40	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	70	60	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	70	80	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	80	40	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	80	40	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	80	60	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	80	80	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	15	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	20	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	25	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	30	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	35	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	40	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	60	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	80	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	50	60	100	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	40	10	0.75	0
